 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13
78,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,2,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
79,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,2,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
80,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
81,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
82,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
83,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
84,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
85,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
86,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
87,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
88,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
89,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
