 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13,Min14,Max14,X14,Y14,Min15,Max15,X15,Y15,Min16,Max16,X16,Y16,Min17,Max17,X17,Y17,Min18,Max18,X18,Y18,Min19,Max19,X19,Y19,Min20,Max20,X20,Y20,Min21,Max21,X21,Y21,Min22,Max22,X22,Y22,Min23,Max23,X23,Y23,Min24,Max24,X24,Y24,Min25,Max25,X25,Y25,Min26,Max26,X26,Y26,Min27,Max27,X27,Y27,Min28,Max28,X28,Y28,Min29,Max29,X29,Y29,Min30,Max30,X30,Y30,Min31,Max31,X31,Y31,Min32,Max32,X32,Y32,Min33,Max33,X33,Y33,Min34,Max34,X34,Y34,Min35,Max35,X35,Y35,Min36,Max36,X36,Y36,Min37,Max37,X37,Y37,Min38,Max38,X38,Y38,Min39,Max39,X39,Y39,Min40,Max40,X40,Y40,Min41,Max41,X41,Y41
11,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
12,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
13,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
14,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
15,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
16,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
17,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
18,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
19,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
20,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
21,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
22,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
23,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
24,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
25,0,0,110.003,60.401,0,0,110.803,57.521,0,0,111.283,61.761,0,0,109.603,63.841,0,0,113.043,56.561,0,0,116.563,54.001,0,0,109.283,62.401,0,0,109.363,61.201,0,0,107.603,64.642,0,0,108.803,65.922,0,0,108.083,62.961,0,0,106.963,68.082,0,0,105.922,68.802,0,0,106.402,64.642,0,0,104.882,71.762,0,0,106.322,73.202,0,0,104.962,76.482,0,0,103.602,76.802,0,0,104.082,75.922,0,0,105.282,75.762,0,0,104.882,81.042,0,0,105.602,79.442,0,0,103.682,80.562,0,0,106.402,81.922,0,0,106.402,83.282,0,0,104.482,84.242,0,0,103.842,85.442,0,0,104.482,87.202,0,0,106.002,90.802,0,0,105.682,88.482,0,0,103.442,92.322,0,0,103.362,94.002,0,0,102.802,95.842,0,0,103.842,91.122,0,0,105.042,89.442,0,0,105.602,98.242,0,0,104.082,95.682,0,0,103.762,98.962,0,0,104.322,97.842,0,0,104.002,96.802,0,0,105.922,100.562
